content,data_clean_content,slang_replacement_content,tokenized_content,remove_stopwords_content
"Kg jelas ngaleg scroll nya leg, ini udh parah bet bug nya lgi lihat lihat bareng trs langsung keluar bug kebeli cod sampe aku lupa sya yg rugi inii",kg jelas ngaleg scroll nya leg ini udh parah bet bug nya lgi lihat lihat bareng trs langsung keluar bug kebeli cod sampe aku lupa sya yg rugi inii,kg jelas ngaleg scroll nya leg ini sudah parah bet bug nya lagi  lihat lihat bareng terus  langsung keluar bug kebeli cod sampai saya lupa saya  yang  rugi inii,"['kg', 'jelas', 'ngaleg', 'scroll', 'nya', 'leg', 'ini', 'sudah', 'parah', 'bet', 'bug', 'nya', 'lagi', 'lihat', 'lihat', 'bareng', 'terus', 'langsung', 'keluar', 'bug', 'kebeli', 'cod', 'sampai', 'saya', 'lupa', 'saya', 'yang', 'rugi', 'inii']","['kg', 'jelas', 'ngaleg', 'scroll', 'nya', 'leg', 'parah', 'bet', 'bug', 'nya', 'lihat', 'lihat', 'bareng', 'terus', 'langsung', 'keluar', 'bug', 'kebeli', 'cod', 'lupa', 'rugi', 'inii']"
"Perbaiki dong shopee Express tu pengiriman kagak jelas, dah telat, eh lama lama di kembalikan barang nya, dah 3 barang gtu, 🚮🚮",perbaiki dong shopee express tu pengiriman kagak jelas dah telat eh lama lama di kembalikan barang nya dah barang gtu tanda membuang sampah tanda membuang sampah,perbaiki dong shopee express itu  pengiriman tidak  jelas sudah telat eh lama lama di kembalikan barang nya sudah barang begitu  tanda membuang sampah tanda membuang sampah,"['perbaiki', 'dong', 'shopee', 'express', 'itu', 'pengiriman', 'tidak', 'jelas', 'sudah', 'telat', 'eh', 'lama', 'lama', 'di', 'kembalikan', 'barang', 'nya', 'sudah', 'barang', 'begitu', 'tanda', 'membuang', 'sampah', 'tanda', 'membuang', 'sampah']","['perbaiki', 'dong', 'shopee', 'express', 'pengiriman', 'tidak', 'jelas', 'telat', 'eh', 'lama', 'lama', 'kembalikan', 'barang', 'nya', 'barang', 'tanda', 'membuang', 'sampah', 'tanda', 'membuang', 'sampah']"
Pay later data lengkap tapi di tolak mending unistal aza ga guna apk nya,pay later data lengkap tapi di tolak mending unistal aza ga guna apk nya,pay later data lengkap tapi di tolak mending unistal aza tidak guna apk nya,"['pay', 'later', 'data', 'lengkap', 'tapi', 'di', 'tolak', 'mending', 'unistal', 'aza', 'tidak', 'guna', 'apk', 'nya']","['pay', 'later', 'data', 'lengkap', 'tolak', 'mending', 'unistal', 'aza', 'tidak', 'apk', 'nya']"
Setelah di perbaharui Shoppe keluar keluar terus gak bisa masuk ke akun lg,setelah di perbaharui shoppe keluar keluar terus gak bisa masuk ke akun lg,setelah di perbaharui shoppe keluar keluar terus tidak bisa masuk ke akun lagi ,"['setelah', 'di', 'perbaharui', 'shoppe', 'keluar', 'keluar', 'terus', 'tidak', 'bisa', 'masuk', 'ke', 'akun', 'lagi']","['perbaharui', 'shoppe', 'keluar', 'keluar', 'terus', 'tidak', 'masuk', 'akun']"
Voucher gratis ongkir min belanja 0 gak bisa di pake tolong beri saran,voucher gratis ongkir min belanja gak bisa di pake tolong beri saran,voucher gratis ongkir min belanja tidak bisa di pakai  tolong beri saran,"['voucher', 'gratis', 'ongkir', 'min', 'belanja', 'tidak', 'bisa', 'di', 'pakai', 'tolong', 'beri', 'saran']","['voucher', 'gratis', 'ongkir', 'min', 'belanja', 'tidak', 'pakai', 'beri', 'saran']"
Shopee makin kesini semakin buruk lemotnya minta ampun 🥱,shopee makin kesini semakin buruk lemotnya minta ampun wajah menguap,shopee makin kesini semakin buruk lemotnya minta ampun wajah menguap,"['shopee', 'makin', 'kesini', 'semakin', 'buruk', 'lemotnya', 'minta', 'ampun', 'wajah', 'menguap']","['shopee', 'makin', 'kesini', 'semakin', 'buruk', 'lemotnya', 'minta', 'ampun', 'wajah', 'menguap']"
"Kualitas shoope dulu sama sekarang beda jauh.. Makin kesini makin parah, Pingin mengeruk keuntungan lebih dengan membuka jasa pengiriman sendiri.. alhasil kualitas pengiriman sangat buruk.. sangat parah.. Terlebih kurirnya, gk punya tanggung jawab. Cuma maunya nrima gaji.. Barang sudah diatur pengiriman, tinggal nunggu dipickup jasa pengiriman, sampe 3hari gk di pickup.. PARAH !!",kualitas shoope dulu sama sekarang beda jauh makin kesini makin parah pingin mengeruk keuntungan lebih dengan membuka jasa pengiriman sendiri alhasil kualitas pengiriman sangat buruk sangat parah terlebih kurirnya gk punya tanggung jawab cuma maunya nrima gaji barang sudah diatur pengiriman tinggal nunggu dipickup jasa pengiriman sampe hari gk di pickup parah,kualitas shoope dulu sama sekarang beda jauh makin kesini makin parah ingin  mengeruk keuntungan lebih dengan membuka jasa pengiriman sendiri alhasil kualitas pengiriman sangat buruk sangat parah terlebih kurirnya tidak punya tanggung jawab cuma maunya nrima gaji barang sudah diatur pengiriman tinggal nunggu dipickup jasa pengiriman sampai hari tidak di pickup parah,"['kualitas', 'shoope', 'dulu', 'sama', 'sekarang', 'beda', 'jauh', 'makin', 'kesini', 'makin', 'parah', 'ingin', 'mengeruk', 'keuntungan', 'lebih', 'dengan', 'membuka', 'jasa', 'pengiriman', 'sendiri', 'alhasil', 'kualitas', 'pengiriman', 'sangat', 'buruk', 'sangat', 'parah', 'terlebih', 'kurirnya', 'tidak', 'punya', 'tanggung', 'jawab', 'cuma', 'maunya', 'nrima', 'gaji', 'barang', 'sudah', 'diatur', 'pengiriman', 'tinggal', 'nunggu', 'dipickup', 'jasa', 'pengiriman', 'sampai', 'hari', 'tidak', 'di', 'pickup', 'parah']","['kualitas', 'shoope', 'dulu', 'sama', 'sekarang', 'beda', 'jauh', 'makin', 'kesini', 'makin', 'parah', 'mengeruk', 'keuntungan', 'lebih', 'membuka', 'jasa', 'pengiriman', 'sendiri', 'alhasil', 'kualitas', 'pengiriman', 'sangat', 'buruk', 'sangat', 'parah', 'terlebih', 'kurirnya', 'tidak', 'punya', 'tanggung', 'jawab', 'cuma', 'maunya', 'nrima', 'gaji', 'barang', 'diatur', 'pengiriman', 'tinggal', 'nunggu', 'dipickup', 'jasa', 'pengiriman', 'hari', 'tidak', 'pickup', 'parah']"
kit ati am shopi,kit ati am shopi,kit ati am shopi,"['kit', 'ati', 'am', 'shopi']","['kit', 'ati', 'am', 'shopi']"
PENIPUUU!!!!! FLASH SALE SETINGANN ADEKNGW JG BISAA!,penipuuu flash sale setingann adekngw jg bisaa,penipuuu flash sale setingann adekngw juga bisa ,"['penipuuu', 'flash', 'sale', 'setingann', 'adekngw', 'juga', 'bisa']","['penipuuu', 'flash', 'sale', 'setingann', 'adekngw']"
akun saya kok masih di nonaktifkan sedangkan tagihan sudah lunas semua,akun saya kok masih di nonaktifkan sedangkan tagihan sudah lunas semua,akun saya kok masih di nonaktifkan sedangkan tagihan sudah lunas semua,"['akun', 'saya', 'kok', 'masih', 'di', 'nonaktifkan', 'sedangkan', 'tagihan', 'sudah', 'lunas', 'semua']","['akun', 'kok', 'nonaktifkan', 'tagihan', 'lunas', 'semua']"
Kenapa gk bisa di buka min lgh ganguan kah,kenapa gk bisa di buka min lgh ganguan kah,kenapa tidak bisa di buka min lgh ganguan kah,"['kenapa', 'tidak', 'bisa', 'di', 'buka', 'min', 'lgh', 'ganguan', 'kah']","['tidak', 'buka', 'min', 'lgh', 'ganguan']"
setiap beli paket data gatau masuk.,setiap beli paket data gatau masuk,setiap beli paket data tidak tahu masuk,"['setiap', 'beli', 'paket', 'data', 'tidak', 'tahu', 'masuk']","['beli', 'paket', 'data', 'tidak', 'tahu', 'masuk']"
"Tolong segera di perbaiki,aplikasi lambat,lemot,loding gak selesai2,mw pmbayaran transakasi,susah,,gak mncul2 halaman mya,",tolong segera di perbaiki aplikasi lambat lemot loding gak selesai mw pmbayaran transakasi susah gak mncul halaman mya,tolong segera di perbaiki aplikasi lambat lemot loding tidak selesai mau pmbayaran transakasi susah tidak mncul halaman mya,"['tolong', 'segera', 'di', 'perbaiki', 'aplikasi', 'lambat', 'lemot', 'loding', 'tidak', 'selesai', 'mau', 'pmbayaran', 'transakasi', 'susah', 'tidak', 'mncul', 'halaman', 'mya']","['segera', 'perbaiki', 'aplikasi', 'lambat', 'lemot', 'loding', 'tidak', 'selesai', 'mau', 'pmbayaran', 'transakasi', 'susah', 'tidak', 'mncul', 'halaman', 'mya']"
Lemot,lemot,lemot,['lemot'],['lemot']
Payah,payah,payah,['payah'],['payah']
"Shopee lu kenapa dah, gw buka malah keluar terus anjir dari aplikasinya.",shopee lu kenapa dah gw buka malah keluar terus anjir dari aplikasinya,shopee kamu kenapa sudah saya buka malah keluar terus anjir dari aplikasinya,"['shopee', 'kamu', 'kenapa', 'sudah', 'saya', 'buka', 'malah', 'keluar', 'terus', 'anjir', 'dari', 'aplikasinya']","['shopee', 'kamu', 'buka', 'malah', 'keluar', 'terus', 'anjir', 'aplikasinya']"
"Benerin dulu systemnya, takut pakai Shopee di medsos bnyk penipuan",benerin dulu systemnya takut pakai shopee di medsos bnyk penipuan,benerin dulu systemnya takut pakai shopee di medsos banyak  penipuan,"['benerin', 'dulu', 'systemnya', 'takut', 'pakai', 'shopee', 'di', 'medsos', 'banyak', 'penipuan']","['benerin', 'dulu', 'systemnya', 'takut', 'pakai', 'shopee', 'medsos', 'banyak', 'penipuan']"
"Penyimpanan udh gede, ngedowload trs lgi nguras kuota bnyk bgt",penyimpanan udh gede ngedowload trs lgi nguras kuota bnyk bgt,penyimpanan sudah gede ngedowload terus  lagi  nguras kuota banyak  sangat ,"['penyimpanan', 'sudah', 'gede', 'ngedowload', 'terus', 'lagi', 'nguras', 'kuota', 'banyak', 'sangat']","['penyimpanan', 'gede', 'ngedowload', 'terus', 'nguras', 'kuota', 'banyak', 'sangat']"
bukanya lama banget padahal internet kenceng kecewa sama shoppe kalau kek gini trus gk bisa perpungsi,bukanya lama banget padahal internet kenceng kecewa sama shoppe kalau kek gini trus gk bisa perpungsi,bukanya lama sekali  padahal internet kencang  kecewa sama shoppe kalau kek gini terus  tidak bisa perpungsi,"['bukanya', 'lama', 'sekali', 'padahal', 'internet', 'kencang', 'kecewa', 'sama', 'shoppe', 'kalau', 'kek', 'gini', 'terus', 'tidak', 'bisa', 'perpungsi']","['bukanya', 'lama', 'sekali', 'padahal', 'internet', 'kencang', 'kecewa', 'sama', 'shoppe', 'kalau', 'kek', 'gini', 'terus', 'tidak', 'perpungsi']"
🤓🤓🤓,wajah kutu buku wajah kutu buku wajah kutu buku,wajah kutu buku wajah kutu buku wajah kutu buku,"['wajah', 'kutu', 'buku', 'wajah', 'kutu', 'buku', 'wajah', 'kutu', 'buku']","['wajah', 'kutu', 'buku', 'wajah', 'kutu', 'buku', 'wajah', 'kutu', 'buku']"
"Apaan saldo shopee pay tiba2 ngurang sendiri, otomatis bayar ke google play, yg bikin gak wajar hilang nya mayan gedee!!!!! Ni sistemnya gmn ya bisa2 nya transaksi di lakuin secara otomatis di aplikasinya",apaan saldo shopee pay tiba ngurang sendiri otomatis bayar ke google play yg bikin gak wajar hilang nya mayan gedee ni sistemnya gmn ya bisa nya transaksi di lakuin secara otomatis di aplikasinya,apaan saldo shopee pay tiba ngurang sendiri otomatis bayar ke google play yang  bikin tidak wajar hilang nya mayan gedee ini  sistemnya bagaimana  ya bisa nya transaksi di lakuin secara otomatis di aplikasinya,"['apaan', 'saldo', 'shopee', 'pay', 'tiba', 'ngurang', 'sendiri', 'otomatis', 'bayar', 'ke', 'google', 'play', 'yang', 'bikin', 'tidak', 'wajar', 'hilang', 'nya', 'mayan', 'gedee', 'ini', 'sistemnya', 'bagaimana', 'ya', 'bisa', 'nya', 'transaksi', 'di', 'lakuin', 'secara', 'otomatis', 'di', 'aplikasinya']","['apaan', 'saldo', 'shopee', 'pay', 'tiba', 'ngurang', 'sendiri', 'otomatis', 'bayar', 'google', 'play', 'bikin', 'tidak', 'wajar', 'hilang', 'nya', 'mayan', 'gedee', 'sistemnya', 'bagaimana', 'nya', 'transaksi', 'lakuin', 'otomatis', 'aplikasinya']"
Saya mau pesen barang kok suruh muat ulang terus,saya mau pesen barang kok suruh muat ulang terus,saya mau pesan  barang kok suruh muat ulang terus,"['saya', 'mau', 'pesan', 'barang', 'kok', 'suruh', 'muat', 'ulang', 'terus']","['mau', 'pesan', 'barang', 'kok', 'suruh', 'muat', 'ulang', 'terus']"
"Kenapa stlh ak perbaharui,mlh gak bsa di buka . Suruh kembali ke halaman pertama",kenapa stlh ak perbaharui mlh gak bsa di buka suruh kembali ke halaman pertama,kenapa setelah  saya  perbaharui mlh tidak bisa di buka suruh kembali ke halaman pertama,"['kenapa', 'setelah', 'saya', 'perbaharui', 'mlh', 'tidak', 'bisa', 'di', 'buka', 'suruh', 'kembali', 'ke', 'halaman', 'pertama']","['perbaharui', 'mlh', 'tidak', 'buka', 'suruh', 'halaman', 'pertama']"
Lag,lag,lag,['lag'],['lag']
Aplikasi makin lelet,aplikasi makin lelet,aplikasi makin lelet,"['aplikasi', 'makin', 'lelet']","['aplikasi', 'makin', 'lelet']"
"saat di kasih bintang 1 selalu di teror pihak toko, di tlp terus karena terima barang yg tak sesuai atau rusak ...",saat di kasih bintang selalu di teror pihak toko di tlp terus karena terima barang yg tak sesuai atau rusak,saat di kasih bintang selalu di teror pihak toko di telepon  terus karena terima barang yang  tak sesuai atau rusak,"['saat', 'di', 'kasih', 'bintang', 'selalu', 'di', 'teror', 'pihak', 'toko', 'di', 'telepon', 'terus', 'karena', 'terima', 'barang', 'yang', 'tak', 'sesuai', 'atau', 'rusak']","['kasih', 'bintang', 'selalu', 'teror', 'pihak', 'toko', 'telepon', 'terus', 'terima', 'barang', 'tak', 'sesuai', 'rusak']"
"Transaksi gagal namun saldo saya telah terpotong, dihubungi cs gak ada tanggapan. Mohon di refund uang saya",transaksi gagal namun saldo saya telah terpotong dihubungi cs gak ada tanggapan mohon di refund uang saya,transaksi gagal namun saldo saya telah terpotong dihubungi cs tidak ada tanggapan mohon di refund uang saya,"['transaksi', 'gagal', 'namun', 'saldo', 'saya', 'telah', 'terpotong', 'dihubungi', 'cs', 'tidak', 'ada', 'tanggapan', 'mohon', 'di', 'refund', 'uang', 'saya']","['transaksi', 'gagal', 'saldo', 'terpotong', 'dihubungi', 'cs', 'tidak', 'tanggapan', 'mohon', 'refund', 'uang']"
"aplikasinya jelek bangett bagusan lazada,aplikasi ini lalod banget,promo pengguna pertama nggak bisa di pakai👎👎👎jelek banget pokoknya",aplikasinya jelek bangett bagusan lazada aplikasi ini lalod banget promo pengguna pertama nggak bisa di pakai jempol ke bawah jempol ke bawah jempol ke bawah jelek banget pokoknya,aplikasinya jelek sangat  bagusan lazada aplikasi ini lalod sekali  promo pengguna pertama tidak bisa di pakai jempol ke bawah jempol ke bawah jempol ke bawah jelek sekali  pokoknya,"['aplikasinya', 'jelek', 'sangat', 'bagusan', 'lazada', 'aplikasi', 'ini', 'lalod', 'sekali', 'promo', 'pengguna', 'pertama', 'tidak', 'bisa', 'di', 'pakai', 'jempol', 'ke', 'bawah', 'jempol', 'ke', 'bawah', 'jempol', 'ke', 'bawah', 'jelek', 'sekali', 'pokoknya']","['aplikasinya', 'jelek', 'sangat', 'bagusan', 'lazada', 'aplikasi', 'lalod', 'sekali', 'promo', 'pengguna', 'pertama', 'tidak', 'pakai', 'jempol', 'bawah', 'jempol', 'bawah', 'jempol', 'bawah', 'jelek', 'sekali', 'pokoknya']"
Ngebug,ngebug,ngebug,['ngebug'],['ngebug']
Sangat lola / lemottttt.............,sangat lola lemottttt,sangat lola lemottttt,"['sangat', 'lola', 'lemottttt']","['sangat', 'lola', 'lemottttt']"
"Parah ni aplikasi abis update malah Lola banget keluar terus, padahal jaringan bagus, sering banget kaya gini terus",parah ni aplikasi abis update malah lola banget keluar terus padahal jaringan bagus sering banget kaya gini terus,parah ini  aplikasi abis update malah lola sekali  keluar terus padahal jaringan bagus sering sekali  kaya gini terus,"['parah', 'ini', 'aplikasi', 'abis', 'update', 'malah', 'lola', 'sekali', 'keluar', 'terus', 'padahal', 'jaringan', 'bagus', 'sering', 'sekali', 'kaya', 'gini', 'terus']","['parah', 'aplikasi', 'abis', 'update', 'malah', 'lola', 'sekali', 'keluar', 'terus', 'padahal', 'jaringan', 'bagus', 'sering', 'sekali', 'kaya', 'gini', 'terus']"
"Jas pengiriman shopee expres tidak bisa dipercaya, paket saya sdh saya tunggu sampai estimasi trakhir tdk kunjung datang, malah dikembalikan ke penjual secara sepihak, dibatalkan dengan alasan penerima tidak dapat dihubungi, padahal kami pihak penerima tdk dapat kabar sama sekali oleh kurir. TOLONG DIJAWAB!!! lebih baik kgk ush dah buat shopee expres, cukup seperti dulu, jnt, jne, dan ninja saja kurirnya.",jas pengiriman shopee expres tidak bisa dipercaya paket saya sdh saya tunggu sampai estimasi trakhir tdk kunjung datang malah dikembalikan ke penjual secara sepihak dibatalkan dengan alasan penerima tidak dapat dihubungi padahal kami pihak penerima tdk dapat kabar sama sekali oleh kurir tolong dijawab lebih baik kgk ush dah buat shopee expres cukup seperti dulu jnt jne dan ninja saja kurirnya,jas pengiriman shopee expres tidak bisa dipercaya paket saya sudah saya tunggu sampai estimasi trakhir tidak kunjung datang malah dikembalikan ke penjual secara sepihak dibatalkan dengan alasan penerima tidak dapat dihubungi padahal kami pihak penerima tidak dapat kabar sama sekali oleh kurir tolong dijawab lebih baik tidak  ush sudah buat shopee expres cukup seperti dulu jnt jne dan ninja saja kurirnya,"['jas', 'pengiriman', 'shopee', 'expres', 'tidak', 'bisa', 'dipercaya', 'paket', 'saya', 'sudah', 'saya', 'tunggu', 'sampai', 'estimasi', 'trakhir', 'tidak', 'kunjung', 'datang', 'malah', 'dikembalikan', 'ke', 'penjual', 'secara', 'sepihak', 'dibatalkan', 'dengan', 'alasan', 'penerima', 'tidak', 'dapat', 'dihubungi', 'padahal', 'kami', 'pihak', 'penerima', 'tidak', 'dapat', 'kabar', 'sama', 'sekali', 'oleh', 'kurir', 'tolong', 'dijawab', 'lebih', 'baik', 'tidak', 'ush', 'sudah', 'buat', 'shopee', 'expres', 'cukup', 'seperti', 'dulu', 'jnt', 'jne', 'dan', 'ninja', 'saja', 'kurirnya']","['jas', 'pengiriman', 'shopee', 'expres', 'tidak', 'dipercaya', 'paket', 'tunggu', 'estimasi', 'trakhir', 'tidak', 'kunjung', 'datang', 'malah', 'dikembalikan', 'penjual', 'sepihak', 'dibatalkan', 'alasan', 'penerima', 'tidak', 'dihubungi', 'padahal', 'pihak', 'penerima', 'tidak', 'kabar', 'sama', 'sekali', 'kurir', 'dijawab', 'lebih', 'baik', 'tidak', 'ush', 'buat', 'shopee', 'expres', 'cukup', 'dulu', 'jnt', 'jne', 'ninja', 'kurirnya']"
❤️,hati merah,hati merah,"['hati', 'merah']","['hati', 'merah']"
"Sudah sering belanja via tranfer, COD n pake Paylater limit ga naik-naik..hadeh",sudah sering belanja via tranfer cod n pake paylater limit ga naik naik hadeh,sudah sering belanja via tranfer cod n pakai  paylater limit tidak naik naik aduh ,"['sudah', 'sering', 'belanja', 'via', 'tranfer', 'cod', 'n', 'pakai', 'paylater', 'limit', 'tidak', 'naik', 'naik', 'aduh']","['sering', 'belanja', 'via', 'tranfer', 'cod', 'n', 'pakai', 'paylater', 'limit', 'tidak', 'naik', 'naik', 'aduh']"
Kurang profesional dalam pemilihan mitra .. saya udah langganan lama di shopee tp di kecewakan dengan satu toko,kurang profesional dalam pemilihan mitra saya udah langganan lama di shopee tp di kecewakan dengan satu toko,kurang profesional dalam pemilihan mitra saya sudah langganan lama di shopee tapi di kecewakan dengan satu toko,"['kurang', 'profesional', 'dalam', 'pemilihan', 'mitra', 'saya', 'sudah', 'langganan', 'lama', 'di', 'shopee', 'tapi', 'di', 'kecewakan', 'dengan', 'satu', 'toko']","['kurang', 'profesional', 'pemilihan', 'mitra', 'langganan', 'lama', 'shopee', 'kecewakan', 'satu', 'toko']"
"Ga bisa di update , gagal terus",ga bisa di update gagal terus,tidak bisa di update gagal terus,"['tidak', 'bisa', 'di', 'update', 'gagal', 'terus']","['tidak', 'update', 'gagal', 'terus']"
Sangat lemot.. Tiap masuk ke aplikasi selalu ngebug.. Berat dan banyk lagi kendala,sangat lemot tiap masuk ke aplikasi selalu ngebug berat dan banyk lagi kendala,sangat lemot tiap masuk ke aplikasi selalu ngebug berat dan banyk lagi kendala,"['sangat', 'lemot', 'tiap', 'masuk', 'ke', 'aplikasi', 'selalu', 'ngebug', 'berat', 'dan', 'banyk', 'lagi', 'kendala']","['sangat', 'lemot', 'tiap', 'masuk', 'aplikasi', 'selalu', 'ngebug', 'berat', 'banyk', 'kendala']"
"Kebanyakan fitur jadi aplikasinya berat mau buka apa apa ngelagnya minta ampun padahal wifi lancar, sinyal lancar.",kebanyakan fitur jadi aplikasinya berat mau buka apa apa ngelagnya minta ampun padahal wifi lancar sinyal lancar,kebanyakan fitur jadi aplikasinya berat mau buka apa apa ngelagnya minta ampun padahal wifi lancar sinyal lancar,"['kebanyakan', 'fitur', 'jadi', 'aplikasinya', 'berat', 'mau', 'buka', 'apa', 'apa', 'ngelagnya', 'minta', 'ampun', 'padahal', 'wifi', 'lancar', 'sinyal', 'lancar']","['kebanyakan', 'fitur', 'jadi', 'aplikasinya', 'berat', 'mau', 'buka', 'apa', 'apa', 'ngelagnya', 'minta', 'ampun', 'padahal', 'wifi', 'lancar', 'sinyal', 'lancar']"
"Tolong event THR, transfer bank, Happy Hours, TopUp di share 1hari sebelum harinya dong. Biar kita ada persiapan",tolong event thr transfer bank happy hours topup di share hari sebelum harinya dong biar kita ada persiapan,tolong event thr transfer bank happy hours topup di share hari sebelum harinya dong biar kita ada persiapan,"['tolong', 'event', 'thr', 'transfer', 'bank', 'happy', 'hours', 'topup', 'di', 'share', 'hari', 'sebelum', 'harinya', 'dong', 'biar', 'kita', 'ada', 'persiapan']","['event', 'thr', 'transfer', 'bank', 'happy', 'hours', 'topup', 'share', 'hari', 'harinya', 'dong', 'biar', 'persiapan']"
